id,fails,passes,Priority,CreatedDate,Steps,LastResult
100,1,9,3,2021-12-15,22,0
101,10,8,3,2021-08-11,13,0
102,1,5,3,2021-11-26,24,1
103,7,10,3,2021-11-05,27,0
104,8,10,2,2021-12-08,6,1
105,2,5,2,2021-11-16,2,1
106,2,2,3,2021-10-27,24,0
107,2,3,3,2021-11-12,11,0
108,3,8,2,2021-09-07,22,1
109,1,9,3,2021-09-18,20,1
110,1,2,1,2021-08-28,26,0
111,5,7,2,2021-11-05,23,1
112,8,8,3,2021-11-02,21,1
113,8,5,3,2021-10-08,9,0
114,7,4,3,2021-10-01,13,1
115,4,7,1,2021-11-21,29,1
116,1,3,3,2021-09-06,21,0
117,3,1,1,2021-12-26,23,1
118,9,4,1,2021-09-25,9,1
119,8,4,2,2021-11-17,25,1
120,3,5,3,2021-11-06,17,1
121,6,1,3,2021-12-30,6,1
122,1,5,2,2021-12-15,3,0
123,4,9,2,2021-11-05,17,0
124,10,5,2,2021-10-22,2,0
125,3,10,3,2021-09-11,30,0
126,1,1,2,2021-08-04,8,0
127,4,3,2,2021-10-25,22,0
128,5,10,2,2021-11-03,2,0
129,8,5,1,2021-10-29,15,1
130,8,2,1,2021-10-26,18,1
131,9,10,2,2021-08-28,18,0
132,6,5,2,2021-11-23,13,0
133,6,7,2,2021-09-26,15,1
134,9,9,3,2021-11-29,5,1
135,3,10,3,2021-11-03,1,1
136,4,7,2,2021-11-20,22,1
137,9,1,1,2021-12-22,12,0
138,2,6,1,2021-09-12,19,1
139,4,9,1,2021-12-14,13,1
140,7,3,3,2021-10-31,1,1
141,6,10,1,2021-08-25,17,1
142,6,8,3,2021-11-20,5,0
143,4,1,1,2021-09-18,28,0
144,1,8,3,2021-10-22,28,1
145,6,7,2,2021-10-06,26,0
146,4,10,3,2021-10-06,12,0
147,7,8,3,2021-10-18,2,1
148,7,9,3,2021-11-07,26,1
149,7,6,3,2021-09-28,17,1
150,1,1,1,2021-08-14,16,0
151,5,2,3,2021-12-22,21,1
152,4,6,1,2021-09-29,29,1
153,9,10,3,2021-12-12,9,0
154,5,3,2,2021-08-02,12,1
155,8,3,2,2021-09-26,13,1
156,6,2,2,2021-09-21,10,1
157,6,3,2,2021-12-09,29,0
158,2,3,2,2021-12-20,7,1
159,5,3,3,2021-09-27,20,1
160,1,9,1,2021-09-02,9,1
161,3,5,1,2021-11-19,18,1
162,10,4,2,2021-09-05,1,1
163,8,3,1,2021-08-30,9,0
164,4,6,1,2021-11-15,27,0
165,2,2,3,2021-11-10,26,1
166,9,10,1,2021-09-10,14,0
167,2,6,3,2021-10-28,18,1
168,8,9,2,2021-11-25,11,0
169,8,8,2,2021-10-09,10,1
170,3,10,3,2021-10-27,8,1
171,10,4,2,2021-10-19,11,0
172,1,7,3,2021-09-06,14,0
173,4,9,3,2021-11-29,9,1
174,9,7,2,2021-11-25,16,1
175,4,10,3,2021-11-18,2,0
176,2,10,1,2021-10-16,10,0
177,1,10,2,2021-11-12,14,1
178,8,4,1,2021-11-16,29,0
179,7,7,1,2021-09-03,13,1
180,10,7,1,2021-10-10,14,0
181,10,10,3,2021-08-28,29,1
182,8,7,3,2021-11-13,29,1
183,4,9,2,2021-11-19,15,0
184,1,3,2,2021-10-12,28,1
185,6,3,3,2021-11-21,6,0
186,10,6,1,2021-11-28,8,1
187,8,4,3,2021-09-18,11,0
188,4,3,2,2021-10-12,30,1
189,5,1,3,2021-12-27,21,0
190,1,4,2,2021-12-23,11,0
191,6,4,1,2021-09-08,16,0
192,3,3,3,2021-11-02,21,1
193,7,8,1,2021-11-27,24,0
194,1,8,1,2021-10-26,3,0
195,3,6,1,2021-12-03,26,0
196,3,8,2,2021-10-23,20,1
197,4,6,2,2021-09-15,19,0
198,7,8,3,2021-08-08,5,0
199,9,2,1,2021-11-06,10,1
200,3,9,2,2021-08-07,11,0
201,1,6,3,2021-11-25,29,1
202,5,9,1,2021-08-28,23,0
203,7,3,2,2021-09-12,30,0
204,10,8,3,2021-09-25,12,0
205,3,9,2,2021-08-07,22,0
206,3,1,1,2021-09-24,17,0
207,1,8,1,2021-09-21,12,1
208,6,6,3,2021-09-04,23,0
209,1,6,3,2021-11-10,8,1
210,7,7,1,2021-08-29,29,1
211,7,8,3,2021-12-09,7,1
212,3,2,3,2021-11-24,7,0
213,3,9,2,2021-09-22,22,0
214,8,7,2,2021-12-26,2,0
215,8,5,3,2021-08-26,5,0
216,6,10,2,2021-12-21,11,1
217,9,4,1,2021-12-07,11,0
218,6,2,3,2021-08-16,5,1
219,4,5,3,2021-09-06,22,0
220,9,4,3,2021-11-27,10,1
221,10,2,2,2021-11-23,4,1
222,7,6,3,2021-12-11,29,0
223,7,7,3,2021-12-16,11,1
224,10,6,1,2021-12-08,20,0
